account_id,account_name,account_type,registration_country,primary_trader_id,status,risk_rating,onboarding_date,mifid_client_category,compliance_status
ACC-110,Kestrel Electronic Trading,market_maker,US,TRD-028,ACTIVE,LOW,2022-09-23,eligible_counterparty,active
ACC-111,Quantum Investment Group,institutional,US,TRD-028,ACTIVE,LOW,2021-08-30,professional,active
ACC-112,Beacon Capital Advisors,institutional,US,TRD-028,ACTIVE,LOW,2020-04-29,professional,active
ACC-113,Cardinal Capital Management,institutional,US,TRD-029,ACTIVE,LOW,2023-01-15,professional,active
ACC-114,Monarch Investment Partners,institutional,US,TRD-029,ACTIVE,LOW,2021-10-04,professional,active
ACC-115,Harbor Asset Management,institutional,US,TRD-029,ACTIVE,LOW,2023-04-11,professional,active
ACC-116,Falcon Advisors,institutional,US,TRD-029,ACTIVE,LOW,2022-12-23,professional,active
ACC-117,Keystone Wealth Management,institutional,US,TRD-030,ACTIVE,LOW,2022-11-06,professional,active
ACC-118,Juniper Financial Group,institutional,US,TRD-030,ACTIVE,LOW,2021-01-15,professional,active
ACC-119,Noble Investment Group,institutional,US,TRD-030,ACTIVE,LOW,2020-05-19,professional,active
ACC-120,Apex Capital Advisors,institutional,US,TRD-030,ACTIVE,LOW,2021-04-26,professional,active
ACC-121,Bridgewater Capital Management,institutional,US,TRD-031,ACTIVE,LOW,2023-03-12,professional,active
ACC-122,Osprey Investment Partners,institutional,US,TRD-031,ACTIVE,LOW,2023-05-02,professional,active
ACC-123,Polaris Asset Management,institutional,US,TRD-031,ACTIVE,LOW,2020-06-16,professional,active
ACC-124,Silverstone Advisors,institutional,US,TRD-031,ACTIVE,LOW,2023-04-10,professional,active
ACC-125,Highland Wealth Management,institutional,US,TRD-032,ACTIVE,LOW,2021-10-09,professional,under_review
ACC-126,Oakwood Financial Group,institutional,US,TRD-032,ACTIVE,LOW,2021-02-22,professional,active
ACC-127,Pinnacle Investment Group,institutional,US,TRD-032,ACTIVE,LOW,2021-10-05,professional,active
ACC-128,Cascade Capital Advisors,institutional,US,TRD-032,ACTIVE,LOW,2022-03-21,professional,active
ACC-129,Atlas Capital Management,institutional,US,TRD-033,ACTIVE,LOW,2023-08-14,professional,active
ACC-130,Frontier Investment Partners,institutional,US,TRD-033,ACTIVE,LOW,2021-10-09,professional,under_review
ACC-131,Sterling Asset Management,institutional,US,TRD-033,ACTIVE,LOW,2020-05-28,professional,active
ACC-132,Northbridge Advisors,institutional,US,TRD-033,ACTIVE,LOW,2023-06-26,professional,restricted
ACC-133,Redwood Wealth Management,institutional,US,TRD-034,ACTIVE,LOW,2020-07-23,professional,active
ACC-134,Cobalt Financial Group,institutional,US,TRD-034,ACTIVE,LOW,2021-03-12,professional,active
ACC-135,Vanguard Investment Group,institutional,US,TRD-034,ACTIVE,LOW,2020-09-28,professional,under_review
ACC-136,Summit Capital Advisors,institutional,US,TRD-034,ACTIVE,LOW,2020-05-20,professional,under_review
ACC-137,Granite Capital Management,institutional,US,TRD-035,ACTIVE,LOW,2022-01-26,professional,active
ACC-138,Liberty Investment Partners,institutional,US,TRD-035,ACTIVE,LOW,2022-06-16,professional,active
ACC-139,Citadel Asset Management,institutional,US,TRD-035,ACTIVE,LOW,2023-12-11,professional,active
ACC-140,Obsidian Advisors,institutional,US,TRD-035,ACTIVE,LOW,2023-09-01,professional,active
ACC-141,Patriot Wealth Management,institutional,US,TRD-036,ACTIVE,LOW,2023-09-29,professional,active
ACC-142,Evergreen Financial Group,institutional,US,TRD-036,ACTIVE,LOW,2021-09-05,professional,under_review
ACC-143,Sentinel Investment Group,institutional,US,TRD-036,ACTIVE,LOW,2020-07-31,professional,under_review
ACC-144,Pacific Capital Advisors,institutional,US,TRD-036,ACTIVE,LOW,2020-10-02,professional,active
ACC-145,Alpine Capital Management,institutional,US,TRD-037,ACTIVE,LOW,2020-08-07,professional,active
ACC-146,Eagle Investment Partners,institutional,US,TRD-037,ACTIVE,LOW,2020-11-14,professional,active
ACC-147,Ironwood Asset Management,institutional,US,TRD-037,ACTIVE,LOW,2023-05-23,professional,active
ACC-148,Meridian Advisors,institutional,US,TRD-037,ACTIVE,LOW,2021-12-03,professional,active
ACC-149,Ivory Wealth Management,institutional,US,TRD-038,ACTIVE,LOW,2023-07-22,professional,under_review
ACC-150,Horizon Financial Group,institutional,US,TRD-038,ACTIVE,LOW,2022-11-01,professional,active
ACC-151,Maple Investment Group,institutional,US,TRD-038,ACTIVE,LOW,2020-04-14,professional,active
ACC-152,Trident Capital Advisors,institutional,US,TRD-038,ACTIVE,LOW,2022-05-17,professional,active
ACC-153,Crestview Capital Management,institutional,US,TRD-039,ACTIVE,LOW,2020-03-31,professional,active
ACC-154,Dragonfly Investment Partners,institutional,US,TRD-039,ACTIVE,LOW,2020-09-24,professional,active
ACC-155,Golden Portfolio,retail,US,TRD-039,ACTIVE,MEDIUM,2021-06-20,retail,active
ACC-156,Kestrel Investments,retail,US,TRD-039,ACTIVE,MEDIUM,2022-06-23,retail,active
ACC-157,Quantum Brokerage,retail,US,TRD-040,ACTIVE,MEDIUM,2022-05-25,retail,active
ACC-158,Beacon Personal Trading,retail,US,TRD-040,ACTIVE,MEDIUM,2020-08-17,retail,active
ACC-159,Cardinal Direct Investing,retail,US,TRD-040,ACTIVE,MEDIUM,2023-11-16,retail,under_review
ACC-160,Monarch Self-Directed,retail,US,TRD-040,ACTIVE,MEDIUM,2023-01-22,retail,active
ACC-161,Harbor Account,retail,US,TRD-041,ACTIVE,MEDIUM,2022-01-26,retail,active
ACC-162,Falcon Trading,retail,US,TRD-041,ACTIVE,MEDIUM,2020-10-30,retail,active
ACC-163,Keystone Portfolio,retail,US,TRD-041,ACTIVE,MEDIUM,2020-03-26,retail,active
ACC-164,Juniper Investments,retail,US,TRD-041,ACTIVE,MEDIUM,2020-03-22,retail,under_review
ACC-165,Noble Brokerage,retail,US,TRD-042,ACTIVE,MEDIUM,2021-03-06,retail,active
ACC-166,Apex Personal Trading,retail,US,TRD-042,ACTIVE,MEDIUM,2023-09-27,retail,active
ACC-167,Bridgewater Direct Investing,retail,US,TRD-042,ACTIVE,MEDIUM,2023-02-20,retail,under_review
ACC-168,Osprey Self-Directed,retail,US,TRD-042,ACTIVE,MEDIUM,2022-04-12,retail,restricted
ACC-169,Polaris Account,retail,US,TRD-043,ACTIVE,MEDIUM,2020-11-12,retail,under_review
ACC-170,Silverstone Trading,retail,US,TRD-043,ACTIVE,MEDIUM,2021-04-29,retail,under_review
ACC-171,Highland Portfolio,retail,US,TRD-043,ACTIVE,MEDIUM,2020-12-28,retail,under_review
ACC-172,Oakwood Investments,retail,US,TRD-043,ACTIVE,MEDIUM,2020-02-20,retail,active
ACC-173,Pinnacle Brokerage,retail,US,TRD-044,ACTIVE,MEDIUM,2021-11-11,retail,active
ACC-174,Cascade Personal Trading,retail,US,TRD-044,ACTIVE,MEDIUM,2022-04-23,retail,active
ACC-175,Atlas Direct Investing,retail,US,TRD-044,ACTIVE,MEDIUM,2021-05-23,retail,active
ACC-176,Frontier Self-Directed,retail,US,TRD-044,ACTIVE,MEDIUM,2023-12-07,retail,active
ACC-177,Sterling Account,retail,US,TRD-045,ACTIVE,MEDIUM,2020-03-20,retail,under_review
ACC-178,Northbridge Trading,retail,US,TRD-045,ACTIVE,MEDIUM,2021-03-31,retail,active
ACC-179,Redwood Portfolio,retail,US,TRD-045,ACTIVE,MEDIUM,2022-07-31,retail,active
ACC-180,Cobalt Investments,retail,US,TRD-045,ACTIVE,MEDIUM,2021-04-11,retail,active
ACC-181,Vanguard Brokerage,retail,US,TRD-046,ACTIVE,MEDIUM,2023-09-13,retail,active
ACC-182,Summit Personal Trading,retail,US,TRD-046,ACTIVE,MEDIUM,2021-11-03,retail,active
ACC-183,Granite Direct Investing,retail,US,TRD-046,ACTIVE,MEDIUM,2020-05-22,retail,restricted
ACC-184,Liberty Self-Directed,retail,US,TRD-046,ACTIVE,MEDIUM,2021-07-25,retail,active
ACC-185,Citadel Account,retail,US,TRD-047,ACTIVE,MEDIUM,2022-11-09,retail,active
ACC-186,Obsidian Trading,retail,US,TRD-047,ACTIVE,MEDIUM,2023-01-03,retail,active
ACC-187,Patriot Portfolio,retail,US,TRD-047,ACTIVE,MEDIUM,2020-02-26,retail,active
ACC-188,Evergreen Partners LP,hedge_fund,KY,TRD-047,ACTIVE,HIGH,2021-06-18,professional,active
ACC-189,Sentinel Global Fund,hedge_fund,KY,TRD-048,ACTIVE,HIGH,2021-06-27,professional,active
ACC-190,Pacific Alpha Fund,hedge_fund,KY,TRD-048,ACTIVE,HIGH,2023-05-06,professional,active
ACC-191,Alpine Macro Partners,hedge_fund,KY,TRD-048,ACTIVE,HIGH,2021-10-04,professional,active
ACC-192,Eagle Ventures LP,hedge_fund,KY,TRD-048,ACTIVE,HIGH,2022-11-13,professional,active
ACC-193,Ironwood Capital,hedge_fund,KY,TRD-049,ACTIVE,HIGH,2023-03-26,professional,active
ACC-194,Meridian Fund,hedge_fund,KY,TRD-049,ACTIVE,HIGH,2020-03-31,professional,active
ACC-195,Ivory Strategies,hedge_fund,KY,TRD-049,ACTIVE,HIGH,2020-01-04,professional,active
ACC-196,Horizon Partners LP,hedge_fund,KY,TRD-049,ACTIVE,HIGH,2023-01-07,professional,active
ACC-197,Maple Global Fund,hedge_fund,KY,TRD-050,ACTIVE,HIGH,2023-10-05,professional,active
ACC-198,Trident Alpha Fund,hedge_fund,KY,TRD-050,ACTIVE,HIGH,2022-06-02,professional,active
ACC-199,Crestview Macro Partners,hedge_fund,KY,TRD-050,ACTIVE,HIGH,2023-09-22,professional,under_review
ACC-200,Dragonfly Ventures LP,hedge_fund,KY,TRD-050,ACTIVE,HIGH,2023-06-30,professional,active
ACC-201,Golden Capital,hedge_fund,KY,,ACTIVE,HIGH,2020-09-12,professional,active
ACC-202,Kestrel Fund,hedge_fund,KY,,ACTIVE,HIGH,2021-09-07,professional,active
ACC-203,Quantum Strategies,hedge_fund,KY,,ACTIVE,HIGH,2023-09-27,professional,active
ACC-204,Beacon Partners LP,hedge_fund,KY,,ACTIVE,HIGH,2022-04-04,professional,active
ACC-205,Cardinal Global Fund,hedge_fund,KY,,ACTIVE,HIGH,2023-02-09,professional,active
ACC-206,Monarch Alpha Fund,hedge_fund,KY,,ACTIVE,HIGH,2022-05-11,professional,active
ACC-207,Harbor Macro Partners,hedge_fund,KY,,ACTIVE,HIGH,2022-02-15,professional,active
ACC-208,Falcon Ventures LP,hedge_fund,KY,,ACTIVE,HIGH,2020-12-22,professional,active
ACC-209,Keystone Capital,hedge_fund,KY,,ACTIVE,HIGH,2021-09-08,professional,active
ACC-210,Juniper Trading LLC,market_maker,US,,ACTIVE,LOW,2020-01-01,eligible_counterparty,active
ACC-211,Noble Markets,market_maker,US,,ACTIVE,LOW,2021-03-06,eligible_counterparty,active
ACC-212,Apex Liquidity,market_maker,US,,ACTIVE,LOW,2023-04-02,eligible_counterparty,active
ACC-213,Bridgewater Market Services,market_maker,US,,ACTIVE,LOW,2021-10-21,eligible_counterparty,active
ACC-214,Osprey Electronic Trading,market_maker,US,,ACTIVE,LOW,2022-06-24,eligible_counterparty,active
ACC-215,Polaris Execution Services,market_maker,US,,ACTIVE,LOW,2022-11-12,eligible_counterparty,active
ACC-216,Silverstone Flow Trading,market_maker,US,,ACTIVE,LOW,2020-12-13,eligible_counterparty,active
ACC-217,Highland Securities,market_maker,US,,ACTIVE,LOW,2021-08-04,eligible_counterparty,active
ACC-218,Oakwood Trading LLC,market_maker,US,,ACTIVE,LOW,2023-07-20,eligible_counterparty,active
ACC-219,Pinnacle Markets,market_maker,US,,ACTIVE,LOW,2020-07-10,eligible_counterparty,active
ACC-220,Cascade Liquidity,market_maker,US,,ACTIVE,LOW,2021-04-26,eligible_counterparty,active
